;PC Software:PMManager Version 3.31 Build 2
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the PMManager Log reader from opening the file correctly. ********
;Logged:09/11/2023 at 14:52:32
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 02:00:00
;Log Settings:Sample:of period: 00:00:01
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:1919-R Photodiode 818-UV (s/n:21213)  NI1.37 (s/n:884305)

;Channel A:Details
;Name:818-UV
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:30.0nW
;Settings:Filter:OUT

;Channel A:Statistics
;Min:580.0pW             
;Max:590.0pW             
;Average:589.8pW             
;Std.Dev.:1.438pW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 09/11/2023 at 14:52:33.182968
  Timestamp   	  Channel A  	
       327.067	  5.800e-010 	
       328.066	  5.800e-010 	
       329.066	  5.800e-010 	
       330.066	  5.800e-010 	
       331.066	  5.800e-010 	
       332.066	  5.800e-010 	
       333.065	  5.800e-010 	
       334.065	  5.800e-010 	
       335.065	  5.800e-010 	
       336.065	  5.800e-010 	
       337.064	  5.800e-010 	
       338.064	  5.800e-010 	
       339.064	  5.800e-010 	
       340.064	  5.800e-010 	
       341.064	  5.800e-010 	
       342.063	  5.800e-010 	
       343.063	  5.800e-010 	
       344.063	  5.800e-010 	
       345.063	  5.800e-010 	
       346.063	  5.800e-010 	
       347.062	  5.800e-010 	
       348.062	  5.800e-010 	
       349.062	  5.800e-010 	
       350.062	  5.800e-010 	
       351.062	  5.800e-010 	
       352.061	  5.800e-010 	
       353.061	  5.800e-010 	
       354.061	  5.800e-010 	
       355.061	  5.800e-010 	
       356.061	  5.800e-010 	
       357.060	  5.800e-010 	
       358.060	  5.800e-010 	
       359.060	  5.800e-010 	
       360.060	  5.800e-010 	
       361.060	  5.800e-010 	
       362.059	  5.900e-010 	
       363.059	  5.900e-010 	
       364.059	  5.900e-010 	
       365.059	  5.900e-010 	
       366.059	  5.900e-010 	
       367.058	  5.900e-010 	
       368.058	  5.900e-010 	
       369.058	  5.900e-010 	
       370.058	  5.900e-010 	
       371.058	  5.900e-010 	
       372.057	  5.900e-010 	
       373.057	  5.900e-010 	
       374.057	  5.900e-010 	
       375.057	  5.900e-010 	
       376.057	  5.900e-010 	
       377.056	  5.900e-010 	
       378.056	  5.900e-010 	
       379.056	  5.900e-010 	
       380.056	  5.900e-010 	
       381.056	  5.900e-010 	
       382.055	  5.900e-010 	
       383.055	  5.900e-010 	
       384.055	  5.900e-010 	
       385.055	  5.900e-010 	
       386.054	  5.900e-010 	
       387.054	  5.900e-010 	
       388.054	  5.900e-010 	
       389.054	  5.900e-010 	
       390.054	  5.900e-010 	
       391.053	  5.900e-010 	
       392.053	  5.900e-010 	
       393.053	  5.900e-010 	
       394.053	  5.900e-010 	
       395.053	  5.900e-010 	
       396.052	  5.900e-010 	
       397.052	  5.900e-010 	
       398.052	  5.900e-010 	
       399.052	  5.900e-010 	
       400.052	  5.900e-010 	
       401.051	  5.900e-010 	
       402.051	  5.900e-010 	
       403.051	  5.900e-010 	
       404.051	  5.900e-010 	
       405.051	  5.900e-010 	
       406.050	  5.900e-010 	
       407.050	  5.900e-010 	
       408.050	  5.900e-010 	
       409.050	  5.900e-010 	
       410.050	  5.900e-010 	
       411.049	  5.900e-010 	
       412.049	  5.900e-010 	
       413.049	  5.900e-010 	
       414.049	  5.900e-010 	
       415.049	  5.900e-010 	
       416.048	  5.900e-010 	
       417.048	  5.900e-010 	
       418.048	  5.900e-010 	
       419.048	  5.900e-010 	
       420.048	  5.900e-010 	
       421.047	  5.900e-010 	
       422.047	  5.900e-010 	
       423.047	  5.900e-010 	
       424.047	  5.900e-010 	
       425.047	  5.900e-010 	
       426.046	  5.900e-010 	
       427.046	  5.900e-010 	
       428.046	  5.900e-010 	
       429.046	  5.900e-010 	
       430.046	  5.900e-010 	
       431.045	  5.900e-010 	
       432.045	  5.900e-010 	
       433.045	  5.900e-010 	
       434.045	  5.900e-010 	
       435.045	  5.900e-010 	
       436.044	  5.900e-010 	
       437.044	  5.900e-010 	
       438.044	  5.900e-010 	
       439.044	  5.900e-010 	
       440.043	  5.900e-010 	
       441.043	  5.900e-010 	
       442.043	  5.900e-010 	
       443.043	  5.900e-010 	
       444.043	  5.900e-010 	
       445.042	  5.900e-010 	
       446.042	  5.900e-010 	
       447.042	  5.900e-010 	
       448.042	  5.900e-010 	
       449.042	  5.900e-010 	
       450.041	  5.900e-010 	
       451.041	  5.900e-010 	
       452.041	  5.900e-010 	
       453.041	  5.900e-010 	
       454.041	  5.900e-010 	
       455.040	  5.900e-010 	
       456.040	  5.900e-010 	
       457.040	  5.900e-010 	
       458.040	  5.900e-010 	
       459.040	  5.900e-010 	
       460.039	  5.900e-010 	
       461.039	  5.900e-010 	
       462.039	  5.900e-010 	
       463.039	  5.900e-010 	
       464.039	  5.900e-010 	
       465.038	  5.900e-010 	
       466.038	  5.900e-010 	
       467.038	  5.900e-010 	
       468.038	  5.900e-010 	
       469.038	  5.900e-010 	
       470.037	  5.900e-010 	
       471.037	  5.900e-010 	
       472.037	  5.900e-010 	
       473.037	  5.900e-010 	
       474.037	  5.900e-010 	
       475.036	  5.900e-010 	
       476.036	  5.900e-010 	
       477.036	  5.900e-010 	
       478.036	  5.900e-010 	
       479.036	  5.900e-010 	
       480.035	  5.900e-010 	
       481.035	  5.900e-010 	
       482.035	  5.900e-010 	
       483.035	  5.900e-010 	
       484.034	  5.900e-010 	
       485.034	  5.900e-010 	
       486.034	  5.900e-010 	
       487.034	  5.900e-010 	
       488.034	  5.900e-010 	
       489.033	  5.900e-010 	
       490.033	  5.900e-010 	
       491.033	  5.900e-010 	
       492.033	  5.900e-010 	
       493.033	  5.900e-010 	
       494.032	  5.900e-010 	
       495.032	  5.900e-010 	
       496.032	  5.900e-010 	
       497.032	  5.900e-010 	
       498.032	  5.900e-010 	
       499.031	  5.900e-010 	
       500.031	  5.900e-010 	
       501.031	  5.900e-010 	
       502.031	  5.900e-010 	
       503.031	  5.900e-010 	
       504.030	  5.900e-010 	
       505.030	  5.900e-010 	
       506.030	  5.900e-010 	
       507.030	  5.900e-010 	
       508.030	  5.900e-010 	
       509.029	  5.900e-010 	
       510.029	  5.900e-010 	
       511.029	  5.900e-010 	
       512.029	  5.900e-010 	
       513.029	  5.900e-010 	
       514.028	  5.900e-010 	
       515.028	  5.900e-010 	
       516.028	  5.900e-010 	
       517.028	  5.900e-010 	
       518.028	  5.900e-010 	
       519.027	  5.900e-010 	
       520.027	  5.900e-010 	
       521.027	  5.900e-010 	
       522.027	  5.900e-010 	
       523.027	  5.900e-010 	
       524.026	  5.900e-010 	
       525.026	  5.900e-010 	
       526.026	  5.900e-010 	
       527.026	  5.900e-010 	
       528.026	  5.900e-010 	
